batch,model,cumulative_samples,batch_samples,feature_count,precision,recall,f1,accuracy,auc,specificity,sensitivity,true_positives,true_negatives,false_positives,false_negatives,predicted_positives,actual_positives
1,rf,9000,9000,118,0.21621621621621623,1.0,0.35555555555555557,0.9355555555555556,0.9740084134615384,0.9343891402714932,1.0,32,1652,116,0,148,32
1,xgb,9000,9000,118,0.2727272727272727,0.5625,0.3673469387755102,0.9655555555555555,0.9742205175339367,0.9728506787330317,0.5625,18,1720,48,14,66,32
1,lgb,9000,9000,118,0.3125,0.625,0.4166666666666667,0.9688888888888889,0.977313701923077,0.9751131221719457,0.625,20,1724,44,12,64,32
2,rf,18000,9000,118,0.22666666666666666,0.9714285714285714,0.3675675675675676,0.935,0.9659915014164305,0.9342776203966006,0.9714285714285714,68,3298,232,2,300,70
2,xgb,18000,9000,118,0.2787878787878788,0.6571428571428571,0.39148936170212767,0.9602777777777778,0.9718008903278026,0.9662889518413598,0.6571428571428571,46,3411,119,24,165,70
2,lgb,18000,9000,118,0.3092105263157895,0.6714285714285714,0.42342342342342343,0.9644444444444444,0.9741278834479968,0.9702549575070821,0.6714285714285714,47,3425,105,23,152,70
3,rf,27000,9000,118,0.2064516129032258,0.96,0.3398230088495575,0.9309259259259259,0.9635245283018867,0.930377358490566,0.96,96,4931,369,4,465,100
3,xgb,27000,9000,118,0.26337448559670784,0.64,0.37317784256559766,0.9601851851851851,0.9718207547169811,0.9662264150943396,0.64,64,5121,179,36,243,100
3,lgb,27000,9000,118,0.308300395256917,0.78,0.44192634560906513,0.9635185185185186,0.9766566037735849,0.9669811320754716,0.78,78,5125,175,22,253,100
4,rf,36000,9000,118,0.20336391437308868,0.9779411764705882,0.3367088607594937,0.9272222222222222,0.9626164770834721,0.9262457531143827,0.9779411764705882,133,6543,521,3,654,136
4,xgb,36000,9000,118,0.2625,0.7720588235294118,0.3917910447761194,0.9547222222222222,0.9705450378056093,0.9582389580973952,0.7720588235294118,105,6769,295,31,400,136
4,lgb,36000,9000,118,0.26588235294117646,0.8308823529411765,0.4028520499108734,0.9534722222222223,0.9716421499233896,0.9558323895809739,0.8308823529411765,113,6752,312,23,425,136
5,rf,45000,9000,118,0.20515970515970516,0.9542857142857143,0.33771486349848334,0.9272222222222222,0.9626849048968028,0.926685552407932,0.9542857142857143,167,8178,647,8,814,175
5,xgb,45000,9000,118,0.23818897637795275,0.6914285714285714,0.35431918008784774,0.951,0.9691010926750303,0.9561473087818697,0.6914285714285714,121,8438,387,54,508,175
5,lgb,45000,9000,118,0.27389705882352944,0.8514285714285714,0.4144645340751043,0.9532222222222222,0.973991744233104,0.9552407932011332,0.8514285714285714,149,8430,395,26,544,175
